id,created,amount,currency,local_amount,local_currency,category,emoji,description,address,notes,receipt
tx_00009LZLkWCuHFZMesdFlx,2017-06-18 15:05:13 +0000,-5.75,GBP,-5.75,GBP,eating_out,🍣,Wasabi,"Hammersmith Rd, London W6 9YA",
tx_00009LZLzCg7AR9YCeHT8b,2017-06-18 15:07:52 +0000,-4.71,GBP,-4.71,GBP,groceries,🍏,Tesco,"Unit 13-16, London W6 9YD",
tx_00009LZkkpXusCyG9eorp3,2017-06-18 19:45:24 +0000,-1.37,GBP,-1.37,GBP,groceries,🍏,Sainsbury's,"179-183 Fulham Palace Rd., Fulham W6 8QZ",
tx_00009LZpD2diBXywgkEntx,2017-06-18 20:35:19 +0000,-0.79,GBP,-0.79,GBP,groceries,🍏,Tesco,"168-188 Fulham Palace Road, London W6 9PA",
tx_00009Lav9k0vluRi2djmnR,2017-06-19 09:16:40 +0000,-6.12,GBP,-6.12,GBP,shopping,💪,Myprotein.com,Online transaction,
tx_00009Lb0VMVIMXc3Uz5J4L,2017-06-19 10:16:36 +0000,-1.83,GBP,-1.83,GBP,groceries,🍏,Tesco,"168-188 Fulham Palace Road, London W6 9PA",
tx_00009Lbig46rUHlrO6YRdJ,2017-06-19 14:20:10 +0000,-4.80,GBP,-4.80,GBP,transport,🚅,Transport for London,"65 Broadway, London SW1H 0BD","Travel charge for Saturday, 17 Jun"
tx_00009LbkfLaDEhaNCQ4Izp,2017-06-19 18:53:50 +0000,100.00,GBP,100.00,GBP,monzo,,,,
tx_00009LboJUc7NZ8ueZnJ4L,2017-06-19 19:34:42 +0000,-3.38,GBP,-3.38,GBP,eating_out,🍔,McDonald's,"312/314 North End Road, London SW6 1NG",
tx_00009LbrHtDzCnyxA2Z2tV,2017-06-19 20:08:02 +0000,-6.55,GBP,-6.55,GBP,groceries,🍏,Iceland,"290-302 North End Road, Fulham SW6 1NQ",
tx_00009LdHtjrbFZ4QCfdCd7,2017-06-20 12:40:55 +0000,-5.36,GBP,-5.36,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009Ldwx98Zpr31oFKbJ3,2017-06-20 20:20:56 +0000,-3.15,GBP,-3.15,GBP,groceries,🍏,Sainsbury's,"179-183 Fulham Palace Rd., Fulham W6 8QZ",
tx_00009LfAJIL5nSgdHW2L0T,2017-06-21 10:25:18 +0000,-1.39,GBP,-1.39,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009LfXItKT57CCeyWNiz,2017-06-21 11:31:43 +0000,-4.80,GBP,-4.80,GBP,transport,🚅,Transport for London,"65 Broadway, London SW1H 0BD","Travel charge for Tuesday, 20 Jun"
tx_00009LfTlxq0zsMhtB01Uf,2017-06-21 14:03:23 +0000,-6.00,GBP,-6.00,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009Lg8bpBYPP1Zc9F81B,2017-06-21 21:40:57 +0000,-2.10,GBP,-2.10,GBP,groceries,🍏,Tesco,"168-188 Fulham Palace Road, London W6 9PA",
tx_00009LhPZnqaJ1SP2407m5,2017-06-22 12:25:48 +0000,-1.63,GBP,-1.63,GBP,groceries,☕️,College Cafe,"Imperial College Rd, London SW7 2AZ",
tx_00009Li6ppcbluMY5rU1uj,2017-06-22 20:30:30 +0000,-1.29,GBP,-1.29,GBP,groceries,🍏,Tesco,"168-188 Fulham Palace Road, London W6 9PA",
tx_00009Ljf98qw5PfAq6WZIv,2017-06-23 14:29:41 +0000,-8.00,GBP,-8.00,GBP,general,💊,Boots,"Somewhere in Hotspur Way, Newcastle Upon Tyne NE1 7XE",
tx_00009LjfpnIg5t1DYIhyz3,2017-06-23 14:37:23 +0000,-3.80,GBP,-3.80,GBP,groceries,🍏,Sainsbury's,"179-183 Fulham Palace Rd., Fulham W6 8QZ",
tx_00009Lk2Fayqiefvrc8rC5,2017-06-23 18:48:33 +0000,-1.90,GBP,-1.90,GBP,groceries,🍏,Sainsbury's,"179-183 Fulham Palace Rd., Fulham W6 8QZ",
tx_00009LlYshJUUzV0imSfPl,2017-06-24 12:28:53 +0000,-1.50,GBP,-1.50,GBP,groceries,🍏,Sainsbury's,"179-183 Fulham Palace Rd., Fulham W6 8QZ",
tx_00009Lm7il49Bm2Ld0GUJF,2017-06-24 18:59:17 +0000,-2.55,GBP,-2.55,GBP,groceries,🍏,Tesco,"168-188 Fulham Palace Road, London W6 9PA",
tx_00009LnYJmB2oPMMeOtRkf,2017-06-25 11:32:00 +0000,-5.09,GBP,-5.09,GBP,eating_out,🍔,McDonald's,"Broadway Shopping Centre, Hammersmith W6 9YD",
tx_00009LoKZk8qwVsK8C2wxV,2017-06-25 20:32:44 +0000,10.11,GBP,10.11,GBP,monzo,,Payment from Dávid Pásztúr,,💪🏻
tx_00009LoLOORXNSYPbQwD1V,2017-06-25 20:41:53 +0000,-25.80,GBP,-25.80,GBP,shopping,💪,Myprotein.com,Online transaction,
tx_00009LpcJdyE73NqgsVcJd,2017-06-26 11:26:14 +0000,-6.90,GBP,-6.90,GBP,eating_out,🍣,Wasabi,"Hammersmith Rd, London W6 9YA",
